Tipo_de_ambiguedad;Frecuencia;Porcentaje_sobre_marcaciones_ambiguas
Cuantificador vago;21;35.59
Requisito no verificable / incompleto;16;27.12
Terminología imprecisa;15;25.42
Conjunción múltiple;7;11.86
